Imaginary,,,,Sum,Real,,,,Sum,epsilon e(w),Refractive index n(w),Extension k(w),EELS (L(w)),Reflectivity (R(w)),Transmittance (A(w)),Emx,wavelength,Absorption (alfa(w))
0,0,0,0,0,0,5.275521,5.280584,-1.341875,3.07141,3.07141,1.75254386535687,0,0,0.074747236706809,100,100,0,0
0.383148,0.073409,0.073565,0.00017,0.049048,0.383148,5.40964,5.414982,1.342201,4.05560766666667,4.05590424593942,2.01389075083606,0.012177423224094,0.00298157622262,0.113183433777157,97.8742595028895,97.8712779266669,3236.34731226576,0.00933151070693
0.766295,0.186746,0.187181,0.000342,0.124756333333333,0.766295,5.878981,5.885366,1.343182,4.36917633333333,4.37095710050635,2.09047045349123,0.029839296012294,0.006529944859185,0.124584265094843,90.0054055951988,89.9988756503396,1618.17576781788,0.045731406675481
1.149443,0.455293,0.45657,0.000519,0.304127333333333,1.149443,6.992307,7.001508,1.34483,5.11288166666667,5.12191881741761,2.26216715607891,0.067220349414958,0.0115928461611,0.150060728954648,70.059668785734,70.0480759395729,1078.78337594818,0.154531920185156
1.532591,1.639594,1.646487,0.000702,1.09559433333333,1.532591,10.112816,10.132338,1.347165,7.19743966666667,7.28034784186435,2.690519235067,0.20360276913353,0.020670239946853,0.212226585612617,23.7640499689487,23.7433797290019,809.087355987344,0.624079543098251
1.915738,21.783437,21.883002,0.000893,14.5557773333333,1.915738,13.134204,13.07118,1.350217,9.18520033333333,17.2115821161521,3.63295901776262,2.00329500858196,0.049135323184684,0.429620803275955,2.11068417352881E-06,-0.04913321250051,647.270138192175,7.67557674630157
2.298886,3.403953,3.392741,0.001097,2.26593033333333,2.298886,-6.819863,-6.811282,1.354025,-4.09237333333333,4.67781570552944,0.54103713929642,2.09406172770322,0.103552440304397,0.67985447066907,2.35494962811127E-08,-0.103552416754901,539.391687974088,9.62801837790548
2.682034,0.720681,0.720102,0.001315,0.480699333333333,2.682034,-1.627747,-1.626741,1.358639,-0.631949666666667,0.793997626109312,0.284647114373785,0.844377668101182,0.762491684680491,0.518219277422216,0.002955975094662,-0.759535709585829,462.335675088384,4.52929922937617
3.065181,0.364614,0.364695,0.001552,0.243620333333333,3.065181,0.222478,0.222967,1.364122,0.603189,0.650528889853821,0.79174424211794,0.153850397876997,0.575678959320714,0.020729760500069,11.3983336960634,10.8226547367427,404.543809974028,0.943158632830025
3.448329,0.363402,0.363986,0.001812,0.243066666666667,3.448329,1.499665,1.501166,1.370555,1.45712866666667,1.4772627916746,1.21127855143672,0.100334752224565,0.111380685583509,0.011164836663085,20.3247647902619,20.2133841046784,359.594458649392,0.691974471607567
3.831477,1.388577,1.397057,0.0021,0.929244666666667,3.831477,3.526826,3.532858,1.378036,2.81257333333333,2.96210472568176,1.69921718138311,0.27343316582707,0.105908120077298,0.076580037975779,0.802960586190743,0.697052466113445,323.634984628643,2.09530577180721
4.214624,2.643231,2.628896,0.002423,1.75818333333333,4.214624,-0.803214,-0.802901,1.386685,-0.073143333333333,1.75970411740787,0.918302995768428,0.957300227395044,0.567786233472931,0.200834605148727,8.52469741930619E-07,-0.567785381003189,294.213671255135,8.06932102716922
4.597772,1.926857,1.933714,0.00279,1.287787,4.597772,2.803814,2.809421,1.396654,2.33662966666667,2.66800179095063,1.58187095833025,0.407045528340482,0.180913844674457,0.073811298531055,0.018071530462257,-0.162842314212199,269.695843987044,3.74300506585815
4.98092,3.271129,3.256902,0.003212,2.177081,4.98092,-3.485602,-3.485491,1.408129,-1.85432133333333,2.8597533613611,0.709024692104502,1.53526458545334,0.266205748409788,0.462636459689883,5.08089057796917E-14,-0.266205748409737,248.949993173952,15.2940601579525
5.364068,0.514835,0.51371,0.003703,0.344082666666667,5.364068,-0.902537,-0.901806,1.421346,-0.127665666666667,0.367003275116025,0.34593179128938,0.497327327714199,2.55460004563394,0.327918092427398,0.000461960445788,-2.55413808518815,231.167837544192,5.33539520823449
