#       Ef[,Ry] T [K],         N,     DOS(Ef),       S,     s/t,       R_H,  kappa0, c,   chi
-0.17108,300,7.49276886,149.78905,3.21195E-06,9.66222E+20,3.15577E-09,7.42268E+15,4.2932529,2.23622E-09
-0.17108,600,7.46620629,160.59762,1.07073E-05,1.00032E+21,2.86698E-09,1.59586E+16,9.5876382,2.39758E-09
-0.17108,900,7.46436275,168.41867,1.77367E-05,1.03073E+21,2.55902E-09,2.44564E+16,14.048959,2.51435E-09
-0.17108,1200,7.47912334,171.46995,2.2383E-05,1.05072E+21,2.29774E-09,3.19544E+16,17.101287,2.5599E-09
-0.17058,300,7.45498474,152.53744,2.61498E-06,9.6372E+20,3.23306E-09,7.38478E+15,4.336202,2.27725E-09
-0.17058,600,7.42590181,161.85804,1.02331E-05,9.95718E+20,2.95761E-09,1.58319E+16,9.4595835,2.4164E-09
-0.17058,900,7.42225264,168.47231,1.74899E-05,1.02486E+21,2.65109E-09,2.43144E+16,13.937698,2.51515E-09
-0.17058,1200,7.43629875,171.13036,2.23872E-05,1.04465E+21,2.38313E-09,3.18313E+16,17.054175,2.55483E-09
-0.17008,300,7.41646975,155.64968,2.05185E-06,9.62051E+20,3.30509E-09,7.34624E+15,4.3723475,2.32372E-09
-0.17008,600,7.38526851,163.22353,9.79313E-06,9.9151E+20,3.0461E-09,1.57045E+16,9.3295407,2.43679E-09
-0.17008,900,7.38012194,168.58172,1.72503E-05,1.01923E+21,2.7424E-09,2.41678E+16,13.819423,2.51678E-09
-0.17008,1200,7.39355648,170.81098,2.23873E-05,1.03872E+21,2.4685E-09,3.17017E+16,16.999631,2.55006E-09
-0.16958,300,7.37712393,159.19194,1.54291E-06,9.61186E+20,3.37213E-09,7.30639E+15,4.395253,2.3766E-09
-0.16958,600,7.34428361,164.66614,9.3921E-06,9.87668E+20,3.13251E-09,1.5577E+16,9.1988878,2.45832E-09
-0.16958,900,7.33795796,168.73694,1.70205E-05,1.01384E+21,2.83291E-09,2.40171E+16,13.695462,2.5191E-09
-0.16958,1200,7.35089182,170.50887,2.23848E-05,1.03291E+21,2.55379E-09,3.15658E+16,16.938365,2.54555E-09
-0.16908,300,7.33683599,163.18561,1.11017E-06,9.61056E+20,3.43465E-09,7.26497E+15,4.4003242,2.43622E-09
-0.16908,600,7.30293145,166.15662,9.03409E-06,9.84156E+20,3.21694E-09,1.54498E+16,9.069123,2.48058E-09
-0.16908,900,7.29575051,168.92774,1.6803E-05,1.00866E+21,2.9226E-09,2.38628E+16,13.567143,2.52195E-09
-0.16908,1200,7.30830086,170.22093,2.23812E-05,1.02724E+21,2.63896E-09,3.1424E+16,16.871115,2.54125E-09
-0.16858,300,7.29549648,167.59278,7.75152E-07,9.61553E+20,3.49332E-09,7.22214E+15,4.3855316,2.50202E-09
-0.16858,600,7.26120383,167.66473,8.72234E-06,9.80937E+20,3.29952E-09,1.53235E+16,8.9418611,2.50309E-09
-0.16858,900,7.25349198,169.14386,1.66E-05,1.0037E+21,3.01144E-09,2.37054E+16,13.435769,2.52517E-09
-0.16858,1200,7.26578045,169.94388,2.23779E-05,1.02169E+21,2.72398E-09,3.12767E+16,16.798635,2.53712E-09
-0.16808,300,7.25301357,172.3102,5.564E-07,9.62528E+20,3.54902E-09,7.17852E+15,4.3517523,2.57244E-09
-0.16808,600,7.21910018,169.15978,8.45915E-06,9.77971E+20,3.38041E-09,1.51985E+16,8.818806,2.52541E-09
-0.16808,900,7.21117732,169.37511,1.64134E-05,9.98924E+20,3.09943E-09,2.35455E+16,13.302604,2.52863E-09
-0.16808,1200,7.22332829,169.67436,2.23762E-05,1.01625E+21,2.80879E-09,3.11241E+16,16.721691,2.53309E-09
-0.16758,300,7.2093292,177.17209,4.67047E-07,9.63801E+20,3.60281E-09,7.13514E+15,4.3027455,2.64503E-09
-0.16758,600,7.17662758,170.61126,8.24584E-06,9.75219E+20,3.4598E-09,1.50756E+16,8.7016958,2.54708E-09
-0.16758,900,7.168804,169.61152,1.62448E-05,9.94329E+20,3.18658E-09,2.33837E+16,13.16885,2.53215E-09
-0.16758,1200,7.18094293,169.40894,2.23775E-05,1.01094E+21,2.89338E-09,3.09667E+16,16.641044,2.52913E-09
-0.16708,300,7.16443355,181.96061,5.12812E-07,9.65173E+20,3.65588E-09,7.09328E+15,4.2448267,2.71652E-09
-0.16708,600,7.13380063,171.98975,8.08264E-06,9.7264E+20,3.53789E-09,1.49551E+16,8.5922243,2.56766E-09
-0.16708,900,7.12637193,169.84353,1.60956E-05,9.89899E+20,3.27291E-09,2.32203E+16,13.035628,2.53562E-09
-0.16708,1200,7.13862377,169.14416,2.23827E-05,1.00574E+21,2.97772E-09,3.08048E+16,16.557449,2.52518E-09
-0.16658,300,7.11837604,186.42304,6.90674E-07,9.66439E+20,3.70947E-09,7.05438E+15,4.1862924,2.78314E-09
-0.16658,600,7.09064107,173.26794,7.96879E-06,9.70196E+20,3.61489E-09,1.48377E+16,8.4919442,2.58674E-09
-0.16658,900,7.08388336,170.06204,1.59668E-05,9.85618E+20,3.35844E-09,2.3056E+16,12.903969,2.53888E-09
-0.16658,1200,7.09637108,168.87663,2.23932E-05,1.00064E+21,3.06177E-09,3.06389E+16,16.471645,2.52118E-09
-0.16608,300,7.07127128,190.29504,9.88444E-07,9.67407E+20,3.76484E-09,7.01977E+15,4.1365776,2.84094E-09
-0.16608,600,7.04717705,174.42162,7.90253E-06,9.67848E+20,3.69102E-09,1.47238E+16,8.4021631,2.60397E-09
-0.16608,900,7.04134274,170.25859,1.5859E-05,9.81471E+20,3.44321E-09,2.28912E+16,12.77479,2.54181E-09
-0.16608,1200,7.05418596,168.60298,2.24097E-05,9.9564E+20,3.14553E-09,3.04691E+16,16.384348,2.5171E-09
-0.16558,300,7.02329843,193.32972,1.38531E-06,9.67917E+20,3.82308E-09,6.99055E+15,4.1050923,2.88625E-09
-0.16558,600,7.00344232,175.43068,7.88124E-06,9.65564E+20,3.76648E-09,1.46137E+16,8.3238412,2.61903E-09
-0.16558,900,6.99875654,170.42542,1.5773E-05,9.77443E+20,3.52725E-09,2.27263E+16,12.648895,2.54431E-09
-0.16558,1200,7.01207037,168.31995,2.24332E-05,9.90735E+20,3.22898E-09,3.02961E+16,16.296246,2.51287E-09
-0.16508,300,6.97469277,195.33092,1.85336E-06,9.67853E+20,3.88508E-09,6.96736E+15,4.0997519,2.91612E-09
-0.16508,600,6.95947504,176.27994,7.9016E-06,9.63311E+20,3.84148E-09,1.45078E+16,8.2575059,2.63171E-09
-0.16508,900,6.95613309,170.55557,1.57088E-05,9.73521E+20,3.61062E-09,2.25618E+16,12.526956,2.54625E-09
-0.16508,1200,6.97002703,168.02442,2.24644E-05,9.85919E+20,3.31209E-09,3.012E+16,16.207992,2.50846E-09
