Energy,T,N,DOS,S,sigma,RH,kappa,c,chi
-0.17108,1200,7.47912334,171.46995,2.2383E-05,1.05072E+21,2.29774E-09,3.19544E+16,17.101287,2.5599E-09
-0.17058,1200,7.43629875,171.13036,2.23872E-05,1.04465E+21,2.38313E-09,3.18313E+16,17.054175,2.55483E-09
-0.17008,1200,7.39355648,170.81098,2.23873E-05,1.03872E+21,2.4685E-09,3.17017E+16,16.999631,2.55006E-09
-0.16958,1200,7.35089182,170.50887,2.23848E-05,1.03291E+21,2.55379E-09,3.15658E+16,16.938365,2.54555E-09
-0.16908,1200,7.30830086,170.22093,2.23812E-05,1.02724E+21,2.63896E-09,3.1424E+16,16.871115,2.54125E-09
-0.16858,1200,7.26578045,169.94388,2.23779E-05,1.02169E+21,2.72398E-09,3.12767E+16,16.798635,2.53712E-09
-0.16808,1200,7.22332829,169.67436,2.23762E-05,1.01625E+21,2.80879E-09,3.11241E+16,16.721691,2.53309E-09
-0.16758,1200,7.18094293,169.40894,2.23775E-05,1.01094E+21,2.89338E-09,3.09667E+16,16.641044,2.52913E-09
-0.16708,1200,7.13862377,169.14416,2.23827E-05,1.00574E+21,2.97772E-09,3.08048E+16,16.557449,2.52518E-09
-0.16658,1200,7.09637108,168.87663,2.23932E-05,1.00064E+21,3.06177E-09,3.06389E+16,16.471645,2.52118E-09
-0.16608,1200,7.05418596,168.60298,2.24097E-05,9.9564E+20,3.14553E-09,3.04691E+16,16.384348,2.5171E-09
-0.16558,1200,7.01207037,168.31995,2.24332E-05,9.90735E+20,3.22898E-09,3.02961E+16,16.296246,2.51287E-09
-0.16508,1200,6.97002703,168.02442,2.24644E-05,9.85919E+20,3.31209E-09,3.012E+16,16.207992,2.50846E-09
-0.16458,1200,6.92805945,167.71341,2.25042E-05,9.81184E+20,3.39488E-09,2.99413E+16,16.120202,2.50382E-09
-0.16408,1200,6.88617185,167.38412,2.25529E-05,9.76524E+20,3.47732E-09,2.97603E+16,16.033453,2.4989E-09
-0.16358,1200,6.84436913,167.03394,2.26112E-05,9.71934E+20,3.55941E-09,2.95774E+16,15.948277,2.49367E-09
-0.16308,1200,6.80265682,166.66046,2.26795E-05,9.67406E+20,3.64116E-09,2.93928E+16,15.865163,2.4881E-09
-0.16258,1200,6.76104102,166.26151,2.2758E-05,9.62936E+20,3.72257E-09,2.92069E+16,15.784554,2.48214E-09
-0.16208,1200,6.71952835,165.83512,2.2847E-05,9.58516E+20,3.80363E-09,2.902E+16,15.70685,2.47578E-09
-0.16158,1200,6.67812589,165.37957,2.29467E-05,9.54141E+20,3.88435E-09,2.88324E+16,15.632408,2.46898E-09
-0.16108,1200,6.63684112,164.89335,2.30571E-05,9.49806E+20,3.96473E-09,2.86442E+16,15.561541,2.46172E-09
-0.16058,1200,6.59568188,164.37518,2.31785E-05,9.45505E+20,4.04479E-09,2.84557E+16,15.494523,2.45398E-09
-0.16008,1200,6.55465628,163.82401,2.33106E-05,9.41232E+20,4.12451E-09,2.82672E+16,15.43159,2.44575E-09
-0.15958,1200,6.51377269,163.23902,2.34535E-05,9.36983E+20,4.20391E-09,2.80788E+16,15.37294,2.43702E-09
-0.15908,1200,6.47303965,162.61958,2.36071E-05,9.32753E+20,4.283E-09,2.78907E+16,15.31874,2.42777E-09
-0.15858,1200,6.43246581,161.96528,2.37712E-05,9.28537E+20,4.36176E-09,2.7703E+16,15.269123,2.418E-09
-0.15808,1200,6.39205993,161.27594,2.39456E-05,9.2433E+20,4.44021E-09,2.7516E+16,15.224194,2.40771E-09
-0.15758,1200,6.35183076,160.55153,2.41303E-05,9.20129E+20,4.51835E-09,2.73297E+16,15.18403,2.3969E-09
-0.15708,1200,6.31178707,159.79224,2.4325E-05,9.15931E+20,4.59616E-09,2.71442E+16,15.14868,2.38556E-09
-0.15658,1200,6.27193752,158.99846,2.45294E-05,9.1173E+20,4.67366E-09,2.69597E+16,15.118171,2.37371E-09
-0.15608,1200,6.23229067,158.17074,2.47435E-05,9.07524E+20,4.75084E-09,2.67761E+16,15.092505,2.36135E-09
-0.15558,1200,6.19285491,157.30982,2.49668E-05,9.0331E+20,4.82768E-09,2.65937E+16,15.07166,2.3485E-09
-0.15508,1200,6.15363845,156.41662,2.51993E-05,8.99084E+20,4.90418E-09,2.64123E+16,15.055593,2.33517E-09
-0.15458,1200,6.11464921,155.49222,2.54407E-05,8.94845E+20,4.98033E-09,2.62321E+16,15.044238,2.32137E-09
-0.15408,1200,6.07589483,154.53789,2.56907E-05,8.90588E+20,5.05612E-09,2.60532E+16,15.037508,2.30712E-09
-0.15358,1200,6.03738263,153.55506,2.59493E-05,8.86313E+20,5.13153E-09,2.58754E+16,15.035292,2.29245E-09
-0.15308,1200,5.99911954,152.54532,2.62161E-05,8.82016E+20,5.20654E-09,2.56989E+16,15.037461,2.27737E-09
-0.15258,1200,5.96111207,151.51043,2.6491E-05,8.77696E+20,5.28115E-09,2.55237E+16,15.043861,2.26192E-09
-0.15208,1200,5.92336627,150.45228,2.67737E-05,8.7335E+20,5.35531E-09,2.53497E+16,15.054317,2.24612E-09
-0.15158,1200,5.8858877,149.37295,2.70642E-05,8.68977E+20,5.42903E-09,2.5177E+16,15.068635,2.23001E-09
-0.15108,1200,5.84868138,148.27463,2.73623E-05,8.64576E+20,5.50227E-09,2.50056E+16,15.086598,2.21361E-09
-0.15058,1200,5.81175177,147.15968,2.76678E-05,8.60143E+20,5.57501E-09,2.48354E+16,15.107971,2.19697E-09
-0.15008,1200,5.77510272,146.03054,2.79806E-05,8.55679E+20,5.64723E-09,2.46665E+16,15.132496,2.18011E-09
-0.14958,1200,5.73873746,144.88983,2.83004E-05,8.51182E+20,5.71891E-09,2.44989E+16,15.159902,2.16308E-09
-0.14908,1200,5.70265855,143.74022,2.86273E-05,8.4665E+20,5.79001E-09,2.43325E+16,15.189896,2.14592E-09
-0.14858,1200,5.66686785,142.58452,2.8961E-05,8.42082E+20,5.86052E-09,2.41674E+16,15.222174,2.12866E-09
-0.14808,1200,5.63136655,141.4256,2.93015E-05,8.37477E+20,5.93041E-09,2.40036E+16,15.256414,2.11136E-09
-0.14758,1200,5.59615508,140.26641,2.96485E-05,8.32834E+20,5.99967E-09,2.3841E+16,15.292285,2.09406E-09
-0.14708,1200,5.56123312,139.10994,3.0002E-05,8.28152E+20,6.06826E-09,2.36797E+16,15.329445,2.07679E-09
-0.14658,1200,5.52659962,137.95925,3.03617E-05,8.23429E+20,6.13617E-09,2.35196E+16,15.367544,2.05961E-09
-0.14608,1200,5.49225276,136.8174,3.07276E-05,8.18666E+20,6.20338E-09,2.33608E+16,15.406225,2.04257E-09
-0.14558,1200,5.45818993,135.68746,3.10994E-05,8.1386E+20,6.26987E-09,2.32034E+16,15.445128,2.0257E-09
-0.14508,1200,5.42440778,134.57252,3.1477E-05,8.09012E+20,6.33563E-09,2.30472E+16,15.483894,2.00905E-09
-0.14458,1200,5.39090217,133.47562,3.18602E-05,8.0412E+20,6.40064E-09,2.28923E+16,15.52216,1.99268E-09
-0.14408,1200,5.35766821,132.39978,3.22486E-05,7.99185E+20,6.46488E-09,2.27388E+16,15.559571,1.97662E-09
-0.14358,1200,5.32470028,131.34796,3.26421E-05,7.94204E+20,6.52835E-09,2.25867E+16,15.595772,1.96091E-09
-0.14308,1200,5.29199199,130.32307,3.30403E-05,7.89179E+20,6.59103E-09,2.24359E+16,15.630418,1.94561E-09
-0.14258,1200,5.25953627,129.32792,3.3443E-05,7.84107E+20,6.65291E-09,2.22865E+16,15.663172,1.93076E-09
-0.14208,1200,5.22732533,128.36523,3.38499E-05,7.7899E+20,6.71399E-09,2.21386E+16,15.693705,1.91638E-09
-0.14158,1200,5.19535072,127.43764,3.42604E-05,7.73827E+20,6.77426E-09,2.19921E+16,15.721703,1.90253E-09
-0.14108,1200,5.16360337,126.54765,3.46743E-05,7.68617E+20,6.8337E-09,2.1847E+16,15.746862,1.88925E-09
-0.14058,1200,5.13207357,125.69764,3.50911E-05,7.63361E+20,6.89231E-09,2.17035E+16,15.768893,1.87656E-09
-0.14008,1200,5.10075103,124.88986,3.55102E-05,7.58059E+20,6.95008E-09,2.15615E+16,15.787522,1.8645E-09
-0.13958,1200,5.06962494,124.12642,3.59312E-05,7.5271E+20,7.00699E-09,2.14211E+16,15.80249,1.8531E-09
-0.13908,1200,5.03868396,123.40926,3.63535E-05,7.47316E+20,7.06303E-09,2.12822E+16,15.813555,1.84239E-09
-0.13858,1200,5.0079163,122.74018,3.67764E-05,7.41877E+20,7.11819E-09,2.11449E+16,15.820489,1.83241E-09
